sernofx,Version,Holdouts Version,CB2b (Labeled)
144,912,2,Probably would subscribe
144,912,2,Probably would not subscribe
147,874,1,Probably would not subscribe
147,874,1,Probably would not subscribe
147,874,1,Probably would not subscribe
147,874,1,Probably would subscribe
147,874,1,Probably would subscribe
147,874,1,Probably would subscribe
147,874,1,Probably would not subscribe
147,874,1,Probably would not subscribe
147,874,1,Probably would not subscribe
147,874,1,Probably would subscribe
147,874,1,Probably would subscribe
147,874,1,Probably would subscribe
147,874,1,Probably would not subscribe
147,874,1,Probably would subscribe
147,874,1,Probably would not subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would not subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
148,90,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
156,994,1,Probably would subscribe
158,944,3,Probably would subscribe
158,944,3,Definitely would not subscribe
158,944,3,Probably would not subscribe
158,944,3,Probably would not subscribe
158,944,3,Probably would not subscribe
158,944,3,Definitely would not subscribe
158,944,3,Probably would not subscribe
158,944,3,Probably would not subscribe
158,944,3,Definitely would not subscribe
158,944,3,Definitely would not subscribe
158,944,3,Probably would not subscribe
158,944,3,Probably would not subscribe
158,944,3,Probably would not subscribe
158,944,3,Definitely would not subscribe
158,944,3,Definitely would not subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
166,144,2,Definitely would subscribe
172,1043,2,Probably would subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would not subscribe
172,1043,2,Probably would subscribe
172,1043,2,Probably would not subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
179,1719,3,Probably would subscribe
180,1267,1,Definitely would subscribe
180,1267,1,Probably would subscribe
180,1267,1,Definitely would subscribe
180,1267,1,Definitely would subscribe
180,1267,1,Probably would subscribe
180,1267,1,Probably would subscribe
180,1267,1,Definitely would subscribe
180,1267,1,Probably would subscribe
180,1267,1,Probably would subscribe
180,1267,1,Definitely would subscribe
180,1267,1,Probably would subscribe
180,1267,1,Definitely would subscribe
180,1267,1,Definitely would subscribe
180,1267,1,Definitely would subscribe
180,1267,1,Probably would subscribe
184,1474,4,Definitely would subscribe
184,1474,4,Probably would not subscribe
184,1474,4,Definitely would subscribe
184,1474,4,Definitely would not subscribe
184,1474,4,Definitely would subscribe
184,1474,4,Probably would subscribe
184,1474,4,Definitely would subscribe
184,1474,4,Definitely would subscribe
184,1474,4,Probably would subscribe
184,1474,4,Definitely would subscribe
184,1474,4,Probably would not subscribe
184,1474,4,Probably would not subscribe
184,1474,4,Definitely would subscribe
184,1474,4,Probably would not subscribe
184,1474,4,Probably would subscribe
186,1429,3,Probably would subscribe
186,1429,3,Probably would not subscribe
186,1429,3,Probably would subscribe
186,1429,3,Probably would subscribe
186,1429,3,Probably would subscribe
186,1429,3,Probably would subscribe
186,1429,3,Probably would subscribe
186,1429,3,Probably would not subscribe
186,1429,3,Probably would subscribe
186,1429,3,Definitely would subscribe
186,1429,3,Probably would subscribe
186,1429,3,Definitely would subscribe
186,1429,3,Probably would subscribe
186,1429,3,Probably would subscribe
186,1429,3,Probably would not subscribe
188,122,2,Probably would not subscribe
188,122,2,Probably would not subscribe
188,122,2,Definitely would not subscribe
188,122,2,Definitely would not subscribe
188,122,2,Probably would subscribe
188,122,2,Probably would not subscribe
188,122,2,Probably would not subscribe
188,122,2,Definitely would not subscribe
188,122,2,Probably would not subscribe
188,122,2,Probably would not subscribe
188,122,2,Probably would not subscribe
188,122,2,Definitely would not subscribe
188,122,2,Probably would not subscribe
188,122,2,Definitely would not subscribe
188,122,2,Definitely would not subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would not subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would not subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
189,230,4,Probably would subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
191,82,2,Definitely would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would subscribe
194,266,1,Probably would subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
194,266,1,Probably would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
195,214,3,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
198,966,1,Definitely would not subscribe
204,812,4,Definitely would subscribe
204,812,4,Definitely would subscribe
204,812,4,Definitely would subscribe
204,812,4,Definitely would subscribe
204,812,4,Probably would subscribe
204,812,4,Definitely would subscribe
204,812,4,Definitely would subscribe
204,812,4,Probably would subscribe
204,812,4,Probably would subscribe
204,812,4,Definitely would subscribe
204,812,4,Probably would subscribe
204,812,4,Probably would subscribe
204,812,4,Probably would subscribe
204,812,4,Probably would subscribe
204,812,4,Definitely would subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
206,986,1,Probably would not subscribe
207,1608,4,Probably would subscribe
207,1608,4,Probably would subscribe
207,1608,4,Probably would not subscribe
207,1608,4,Probably would not subscribe
207,1608,4,Probably would not subscribe
207,1608,4,Probably would subscribe
207,1608,4,Probably would subscribe
207,1608,4,Probably would not subscribe
207,1608,4,Probably would subscribe
207,1608,4,Probably would subscribe
207,1608,4,Probably would subscribe
207,1608,4,Probably would not subscribe
207,1608,4,Definitely would subscribe
207,1608,4,Definitely would subscribe
207,1608,4,Probably would subscribe
212,1109,1,Probably would subscribe
212,1109,1,Probably would not subscribe
212,1109,1,Definitely would subscribe
212,1109,1,Probably would subscribe
212,1109,1,Probably would not subscribe
212,1109,1,Probably would not subscribe
